volume,vw,open,close,high,low,timestamp,trades
40156.0,375.8453,375.64,375.91,376.04,375.64,2021-01-04 09:00:00,138
10514.0,375.9086,375.9,375.89,375.98,375.84,2021-01-04 09:05:00,34
4614.0,375.9677,375.91,376.01,376.01,375.91,2021-01-04 09:10:00,27
9380.0,376.1775,376.04,376.26,376.33,376.04,2021-01-04 09:15:00,45
3447.0,376.3514,376.29,376.39,376.39,376.22,2021-01-04 09:20:00,20
4252.0,376.3743,376.41,376.39,376.42,376.33,2021-01-04 09:25:00,26
2686.0,376.389,376.36,376.39,376.41,376.36,2021-01-04 09:30:00,13
926.0,376.4962,376.44,376.45,376.62,376.44,2021-01-04 09:35:00,20
2249.0,376.5791,376.47,376.72,376.72,376.47,2021-01-04 09:40:00,19
3090.0,376.6,376.74,376.62,376.74,376.45,2021-01-04 09:45:00,29
3850.0,376.5754,376.72,376.43,376.72,376.43,2021-01-04 09:50:00,34
5795.0,376.4675,376.46,376.48,376.48,376.45,2021-01-04 09:55:00,20
3735.0,376.5524,376.51,376.55,376.59,376.49,2021-01-04 10:00:00,16
1419.0,376.4178,376.42,376.41,376.42,376.41,2021-01-04 10:05:00,4
3313.0,376.5362,376.5,376.6,376.6,376.48,2021-01-04 10:10:00,20
2679.0,376.3952,376.61,376.25,376.61,376.25,2021-01-04 10:15:00,23
843.0,376.3436,376.33,376.34,376.35,376.33,2021-01-04 10:20:00,9
973.0,376.1662,376.18,376.15,376.18,376.15,2021-01-04 10:25:00,10
403.0,376.265,376.25,376.27,376.27,376.25,2021-01-04 10:30:00,4
1107.0,376.242,376.26,376.24,376.26,376.24,2021-01-04 10:35:00,5
7763.0,376.2917,376.32,376.28,376.36,376.26,2021-01-04 10:40:00,34
1459.0,376.3429,376.31,376.38,376.38,376.31,2021-01-04 10:45:00,19
1452.0,376.2974,376.25,376.33,376.35,376.25,2021-01-04 10:50:00,8
1233.0,376.19,376.2,376.18,376.21,376.17,2021-01-04 10:55:00,12
3002.0,376.3157,376.23,376.34,376.36,376.23,2021-01-04 11:00:00,13
2826.0,376.4065,376.4,376.44,376.44,376.39,2021-01-04 11:05:00,17
2169.0,376.3885,376.38,376.42,376.42,376.33,2021-01-04 11:10:00,12
2887.0,376.383,376.42,376.37,376.42,376.35,2021-01-04 11:15:00,15
2350.0,376.2899,376.37,376.25,376.37,376.25,2021-01-04 11:20:00,17
