volume,vw,open,close,high,low,timestamp,trades
11611.0,441.1169,440.6,441.22,441.3,440.6,2021-08-02 08:00:00,78
1027.0,441.1256,441.24,441.07,441.24,441.07,2021-08-02 08:05:00,20
1587.0,441.0569,441.07,440.99,441.09,440.99,2021-08-02 08:10:00,20
1001.0,441.01,441.01,441.01,441.01,441.01,2021-08-02 08:15:00,3
8034.0,440.8972,440.92,440.86,441.0,440.86,2021-08-02 08:20:00,43
1773.0,440.9937,440.97,441.01,441.01,440.97,2021-08-02 08:30:00,20
989.0,440.998,441.04,440.99,441.04,440.99,2021-08-02 08:35:00,10
811.0,440.9901,440.99,440.99,440.99,440.99,2021-08-02 08:45:00,5
583.0,441.0075,440.95,441.1,441.1,440.95,2021-08-02 08:55:00,7
100.0,441.08,441.08,441.08,441.08,441.08,2021-08-02 09:00:00,1
201.0,441.0502,441.05,441.05,441.05,441.05,2021-08-02 09:05:00,3
720.0,441.0208,441.09,440.99,441.09,440.99,2021-08-02 09:10:00,14
104.0,441.012,441.01,441.01,441.01,441.01,2021-08-02 09:15:00,4
301.0,440.9899,440.99,440.99,440.99,440.99,2021-08-02 09:20:00,3
100.0,441.08,441.08,441.08,441.08,441.08,2021-08-02 09:25:00,1
369.0,441.1292,441.14,441.14,441.14,441.14,2021-08-02 09:30:00,7
413.0,441.2664,441.26,441.27,441.27,441.26,2021-08-02 09:35:00,9
505.0,441.1862,441.21,441.17,441.21,441.17,2021-08-02 09:40:00,6
181.0,441.1594,441.15,441.15,441.15,441.15,2021-08-02 09:45:00,9
104.0,441.2402,441.24,441.24,441.24,441.24,2021-08-02 09:50:00,4
207.0,441.2093,441.21,441.21,441.21,441.21,2021-08-02 09:55:00,3
2121.0,440.9843,441.02,441.09,441.09,440.94,2021-08-02 10:00:00,27
3882.0,441.0107,441.03,440.98,441.03,440.98,2021-08-02 10:05:00,27
522.0,440.8266,440.82,440.8,440.82,440.8,2021-08-02 10:10:00,9
5586.0,440.7987,440.8,440.9,440.9,440.78,2021-08-02 10:15:00,34
100.0,440.91,440.91,440.91,440.91,440.91,2021-08-02 10:20:00,1
1308.0,440.9115,440.9,440.92,440.92,440.9,2021-08-02 10:25:00,10
6341.0,440.928,440.93,440.81,440.97,440.81,2021-08-02 10:30:00,38
996.0,440.807,440.85,440.8,440.85,440.73,2021-08-02 10:35:00,16
3415.0,440.7241,440.7,440.78,440.78,440.7,2021-08-02 10:45:00,33
890.0,440.7498,440.78,440.71,440.78,440.71,2021-08-02 10:50:00,12
39352.0,440.5979,440.71,440.03,440.75,440.01,2021-08-02 10:55:00,160
62525.0,439.9081,439.99,439.91,440.1,439.75,2021-08-02 11:00:00,322
21575.0,440.0191,439.89,439.95,440.08,439.85,2021-08-02 11:05:00,133
12906.0,440.1506,439.99,440.25,440.25,439.99,2021-08-02 11:10:00,101
17815.0,440.3539,440.21,440.41,440.45,440.21,2021-08-02 11:15:00,120
5465.0,440.4216,440.45,440.34,440.46,440.34,2021-08-02 11:20:00,43
7594.0,440.2581,440.32,440.18,440.33,440.12,2021-08-02 11:25:00,88
22071.0,440.3877,440.17,440.4,440.4,440.17,2021-08-02 11:30:00,81
6872.0,440.4464,440.4,440.44,440.5,440.4,2021-08-02 11:35:00,57
2170.0,440.4482,440.47,440.4,440.5,440.4,2021-08-02 11:40:00,38
1068.0,440.4563,440.45,440.46,440.49,440.44,2021-08-02 11:45:00,14
5502.0,440.4315,440.46,440.48,440.49,440.4,2021-08-02 11:50:00,48
22857.0,440.4909,440.48,440.48,440.51,440.44,2021-08-02 11:55:00,87
56915.0,440.4731,440.03,440.42,441.35,439.86,2021-08-02 12:00:00,496
12416.0,440.3886,440.41,440.42,440.46,440.33,2021-08-02 12:05:00,78
3245.0,440.4864,440.4,440.5,440.7,440.37,2021-08-02 12:10:00,43
8309.0,440.4269,440.45,440.44,440.45,440.37,2021-08-02 12:15:00,66
61522.0,440.167,440.43,440.12,440.44,439.96,2021-08-02 12:20:00,400
14855.0,440.0681,440.09,440.18,440.18,439.98,2021-08-02 12:25:00,103
5120.0,440.1832,440.22,440.25,440.25,440.09,2021-08-02 12:30:00,189
4495.0,440.0771,440.2,440.1,440.2,440.02,2021-08-02 12:35:00,138
9513.0,440.09,440.1,440.2,440.2,440.07,2021-08-02 12:40:00,109
6009.0,440.0564,440.2,440.05,440.2,440.01,2021-08-02 12:45:00,108
6900.0,440.1032,440.06,440.07,440.15,440.06,2021-08-02 12:50:00,87
3676.0,440.1448,440.05,440.19,440.19,440.05,2021-08-02 12:55:00,96
23276.0,440.3002,440.2,440.39,440.39,440.2,2021-08-02 13:00:00,278
37538.0,440.1041,440.38,440.05,440.38,439.96,2021-08-02 13:05:00,458
10388.0,440.1517,440.11,440.2,440.21,440.09,2021-08-02 13:10:00,199
9799.0,440.1912,440.2,440.21,440.21,440.14,2021-08-02 13:15:00,136
25433.0,440.2984,440.23,440.34,440.34,440.22,2021-08-02 13:20:00,294
125454.0,440.2901,440.33,440.33,440.39,440.15,2021-08-02 13:25:00,763
2557532.0,440.5309,440.34,440.69,440.93,440.11,2021-08-02 13:30:00,17508
1440014.0,440.0755,440.7,440.43,440.845,440.09,2021-08-02 13:35:00,10311
803773.0,440.4443,440.43,440.3099,440.6,440.195,2021-08-02 13:40:00,7534
