volume,vw,open,close,high,low,timestamp,trades
20075.0,397.5842,397.38,397.97,397.97,396.52,2023-03-01 09:00:00,181
8335.0,397.7561,397.94,397.68,397.94,397.62,2023-03-01 09:05:00,61
2142.0,397.7791,397.74,397.82,397.82,397.74,2023-03-01 09:10:00,31
5130.0,397.7633,397.83,397.63,397.84,397.62,2023-03-01 09:15:00,42
4804.0,397.3924,397.63,397.35,397.66,397.29,2023-03-01 09:20:00,41
7835.0,397.3784,397.47,397.28,397.47,397.28,2023-03-01 09:25:00,35
2779.0,397.3593,397.29,397.44,397.44,397.28,2023-03-01 09:30:00,19
8224.0,397.4528,397.53,397.42,397.53,397.42,2023-03-01 09:35:00,32
3422.0,397.37,397.4,397.29,397.48,397.29,2023-03-01 09:40:00,17
2965.0,397.2701,397.33,397.16,397.33,397.16,2023-03-01 09:45:00,30
2682.0,397.287,397.29,397.29,397.29,397.28,2023-03-01 09:50:00,14
9000.0,397.4178,397.39,397.48,397.48,397.39,2023-03-01 09:55:00,39
1898.0,397.33,397.5,397.28,397.5,397.28,2023-03-01 10:00:00,15
364.0,397.4393,397.49,397.42,397.49,397.42,2023-03-01 10:05:00,6
153.0,397.3404,397.33,397.33,397.33,397.33,2023-03-01 10:10:00,2
1967.0,397.4125,397.4,397.44,397.44,397.4,2023-03-01 10:15:00,16
4576.0,397.4976,397.48,397.48,397.53,397.48,2023-03-01 10:20:00,22
6998.0,397.5461,397.48,397.65,397.65,397.48,2023-03-01 10:25:00,31
4173.0,397.6246,397.77,397.5,397.77,397.5,2023-03-01 10:30:00,22
7746.0,397.5822,397.55,397.64,397.68,397.55,2023-03-01 10:35:00,26
8257.0,397.7254,397.67,397.71,397.79,397.67,2023-03-01 10:40:00,31
200.0,397.61,397.61,397.61,397.61,397.61,2023-03-01 10:45:00,1
390.0,397.5988,397.61,397.6,397.61,397.58,2023-03-01 10:50:00,8
3490.0,397.829,397.68,397.86,397.89,397.68,2023-03-01 10:55:00,36
1587.0,397.7814,397.78,397.77,397.78,397.77,2023-03-01 11:00:00,9
1824.0,397.8316,397.77,397.87,397.87,397.77,2023-03-01 11:05:00,15
52521.0,397.9765,397.89,397.93,398.0,397.85,2023-03-01 11:10:00,89
2962.0,397.9508,397.91,398.03,398.03,397.85,2023-03-01 11:15:00,24
2689.0,397.9899,397.97,398.01,398.02,397.96,2023-03-01 11:20:00,17
3433.0,398.0338,398.04,397.94,398.08,397.94,2023-03-01 11:25:00,34
3096.0,397.8641,397.84,397.87,397.91,397.84,2023-03-01 11:30:00,19
2537.0,397.8779,397.86,397.88,397.9,397.86,2023-03-01 11:35:00,13
1910.0,397.9186,397.82,397.97,397.97,397.82,2023-03-01 11:40:00,21
3041.0,397.8713,397.91,397.8,397.91,397.8,2023-03-01 11:45:00,22
8287.0,397.8268,397.94,397.73,397.94,397.73,2023-03-01 11:50:00,37
3615.0,397.7251,397.72,397.79,397.79,397.68,2023-03-01 11:55:00,25
73943.0,397.5287,397.73,397.67,397.73,397.26,2023-03-01 12:00:00,353
11998.0,397.6599,397.67,397.57,397.7,397.57,2023-03-01 12:05:00,80
33299.0,397.3289,397.52,397.24,397.53,397.24,2023-03-01 12:10:00,146
13123.0,397.3387,397.24,397.39,397.4,397.23,2023-03-01 12:15:00,123
9566.0,397.3929,397.39,397.42,397.42,397.37,2023-03-01 12:20:00,71
41228.0,397.4966,397.42,397.55,397.57,397.42,2023-03-01 12:25:00,209
23065.0,397.5512,397.55,397.56,397.61,397.48,2023-03-01 12:30:00,161
117481.0,397.6137,397.54,397.659,397.659,397.54,2023-03-01 12:35:00,433
9107.0,397.5134,397.62,397.45,397.65,397.45,2023-03-01 12:40:00,99
10331.0,397.5086,397.48,397.51,397.59,397.4,2023-03-01 12:45:00,117
15266.0,397.495,397.51,397.45,397.53,397.44,2023-03-01 12:50:00,114
25924.0,397.4646,397.45,397.56,397.56,397.39,2023-03-01 12:55:00,183
94906.0,397.4122,397.5183,397.2,398.0496,396.4,2023-03-01 13:00:00,1008
22698.0,397.1617,397.16,397.18,397.2,397.12,2023-03-01 13:05:00,236
33026.0,397.1103,397.16,397.05,397.16,397.05,2023-03-01 13:10:00,231
24193.0,397.0223,397.05,396.97,397.11,396.932,2023-03-01 13:15:00,213
41859.0,396.8174,396.95,396.76,396.97,396.72,2023-03-01 13:20:00,313
46733.0,396.5815,396.76,396.42,396.78,396.38,2023-03-01 13:25:00,336
101585.0,396.2238,396.38,395.91,396.47,395.88,2023-03-01 13:30:00,670
2539408.0,396.2538,395.87,395.95,396.26,395.81,2023-03-01 13:35:00,439
2567211.0,396.24,395.95,395.5,396.26,395.5,2023-03-01 13:40:00,541
78186.0,395.63,395.52,395.77,395.85,395.37,2023-03-01 13:45:00,611
