volume,vw,open,close,high,low,timestamp,trades
4148.0,392.5818,392.79,392.77,392.82,392.0,2022-09-01 08:00:00,102
2636.0,392.8647,392.84,392.64,393.0,392.64,2022-09-01 08:05:00,34
3058.0,392.6003,392.51,392.92,392.92,392.39,2022-09-01 08:10:00,51
1264.0,392.7435,392.81,392.63,392.81,392.63,2022-09-01 08:15:00,29
4469.0,392.5798,392.61,392.4,392.65,392.4,2022-09-01 08:20:00,26
4624.0,392.3468,392.4,392.24,392.45,392.24,2022-09-01 08:25:00,32
7208.0,392.1791,392.22,392.01,392.3,392.0,2022-09-01 08:30:00,64
4404.0,392.063,392.04,392.22,392.22,392.0,2022-09-01 08:35:00,35
2037.0,392.2129,392.18,392.2,392.35,392.18,2022-09-01 08:40:00,15
904.0,391.9801,392.0,391.99,392.0,391.98,2022-09-01 08:45:00,20
3515.0,391.9095,392.02,391.84,392.06,391.84,2022-09-01 08:50:00,55
1124.0,392.11,392.1,392.11,392.11,392.09,2022-09-01 08:55:00,26
2965.0,392.3808,392.25,392.49,392.49,392.25,2022-09-01 09:00:00,44
1685.0,392.4206,392.36,392.38,392.56,392.36,2022-09-01 09:05:00,19
1739.0,392.1864,392.18,392.21,392.21,392.18,2022-09-01 09:10:00,11
743.0,392.0555,392.09,392.01,392.1,392.01,2022-09-01 09:15:00,9
2844.0,391.9282,392.01,391.82,392.01,391.82,2022-09-01 09:20:00,28
3200.0,392.0231,392.03,392.06,392.07,391.94,2022-09-01 09:25:00,22
2403.0,392.2574,392.29,392.11,392.37,392.11,2022-09-01 09:30:00,33
2811.0,392.2172,391.93,392.39,392.39,391.93,2022-09-01 09:35:00,29
6460.0,392.5075,392.39,392.64,392.64,392.39,2022-09-01 09:40:00,52
6298.0,392.7778,392.68,392.76,392.83,392.68,2022-09-01 09:45:00,49
2730.0,392.8579,392.8,392.89,392.96,392.8,2022-09-01 09:50:00,33
3430.0,392.8188,392.94,392.61,392.94,392.61,2022-09-01 09:55:00,38
1195.0,392.6346,392.61,392.62,392.71,392.61,2022-09-01 10:00:00,25
900.0,392.6804,392.62,392.67,392.67,392.62,2022-09-01 10:05:00,9
330.0,392.6727,392.69,392.67,392.69,392.66,2022-09-01 10:10:00,6
195.0,392.4062,392.42,392.42,392.42,392.42,2022-09-01 10:15:00,7
5028.0,392.4797,392.51,392.42,392.58,392.39,2022-09-01 10:20:00,38
351.0,392.4171,392.41,392.41,392.41,392.41,2022-09-01 10:25:00,20
4284.0,392.4966,392.53,392.4,392.68,392.37,2022-09-01 10:30:00,30
3701.0,392.3978,392.4,392.39,392.4,392.39,2022-09-01 10:35:00,24
2245.0,392.3238,392.3,392.34,392.36,392.28,2022-09-01 10:40:00,26
6116.0,392.4644,392.37,392.34,392.55,392.34,2022-09-01 10:45:00,37
1098.0,392.3656,392.45,392.4,392.45,392.28,2022-09-01 10:50:00,24
5119.0,392.7094,392.65,392.7,392.82,392.64,2022-09-01 10:55:00,44
25524.0,392.7597,392.58,392.8,392.84,392.58,2022-09-01 11:00:00,162
51150.0,392.8742,392.81,392.89,393.01,392.7,2022-09-01 11:05:00,226
53453.0,392.9733,392.9,393.17,393.26,392.78,2022-09-01 11:10:00,302
22869.0,393.2237,393.18,393.42,393.47,393.07,2022-09-01 11:15:00,182
26920.0,393.4755,393.47,393.49,393.54,393.32,2022-09-01 11:20:00,193
24687.0,393.4799,393.58,393.46,393.64,393.37,2022-09-01 11:25:00,168
29820.0,393.5664,393.36,393.9,393.95,393.29,2022-09-01 11:30:00,222
40223.0,393.8855,393.85,393.82,393.99,393.805,2022-09-01 11:35:00,173
