volume,vw,open,close,high,low,timestamp,trades
14889.0,351.2912,351.27,351.27,351.43,351.27,2020-09-01 08:00:00,61
1901.0,351.1419,351.16,351.13,351.24,351.1,2020-09-01 08:05:00,13
336.0,351.1128,351.06,351.15,351.15,351.06,2020-09-01 08:10:00,6
12782.0,351.0667,351.0,351.03,351.22,350.98,2020-09-01 08:15:00,38
100.0,351.03,351.03,351.03,351.03,351.03,2020-09-01 08:20:00,1
4601.0,351.2724,351.12,351.35,351.35,351.12,2020-09-01 08:25:00,14
674.0,351.0721,351.04,351.15,351.15,351.03,2020-09-01 08:30:00,7
1000.0,351.253,351.19,351.28,351.28,351.19,2020-09-01 08:35:00,5
5356.0,350.7942,351.07,350.91,351.07,350.72,2020-09-01 08:40:00,13
150.0,350.8133,350.8,350.8,350.8,350.8,2020-09-01 08:45:00,2
4105.0,350.6068,350.61,350.59,350.61,350.59,2020-09-01 08:50:00,8
11243.0,350.5036,350.45,350.5,350.56,350.45,2020-09-01 08:55:00,27
446.0,350.5674,350.61,350.61,350.61,350.48,2020-09-01 09:00:00,3
1750.0,350.7069,350.72,350.58,350.73,350.58,2020-09-01 09:05:00,4
700.0,350.72,350.72,350.72,350.72,350.72,2020-09-01 09:10:00,7
2579.0,350.9091,350.83,351.01,351.01,350.83,2020-09-01 09:15:00,15
7399.0,351.0449,351.08,351.1,351.11,351.03,2020-09-01 09:20:00,20
430.0,351.1372,351.13,351.15,351.15,351.13,2020-09-01 09:25:00,4
225.0,351.1767,351.16,351.19,351.19,351.16,2020-09-01 09:30:00,2
7750.0,351.2442,351.17,351.26,351.26,351.16,2020-09-01 09:35:00,16
965.0,351.2021,351.2,351.21,351.21,351.2,2020-09-01 09:40:00,10
3050.0,351.1389,351.13,351.17,351.18,351.09,2020-09-01 09:45:00,13
101.0,351.0702,351.07,351.07,351.07,351.07,2020-09-01 09:50:00,2
1874.0,350.948,351.0,350.96,351.0,350.89,2020-09-01 09:55:00,14
3066.0,350.9666,350.96,351.04,351.04,350.86,2020-09-01 10:00:00,15
2057.0,351.0393,351.04,350.97,351.1,350.96,2020-09-01 10:05:00,13
2401.0,350.9311,351.0,350.93,351.0,350.84,2020-09-01 10:10:00,13
1375.0,350.9553,350.96,350.98,350.98,350.94,2020-09-01 10:15:00,7
1775.0,350.9442,350.99,350.94,350.99,350.86,2020-09-01 10:20:00,11
1925.0,351.0507,350.94,351.1,351.1,350.94,2020-09-01 10:25:00,15
400.0,351.0849,351.08,351.09,351.09,351.08,2020-09-01 10:30:00,3
200.0,351.03,351.1,350.96,351.1,350.96,2020-09-01 10:35:00,2
2945.0,350.9915,351.0,351.09,351.09,350.94,2020-09-01 10:40:00,17
5430.0,350.9393,350.96,350.93,351.0,350.93,2020-09-01 10:45:00,17
3000.0,351.04,351.04,351.04,351.04,351.04,2020-09-01 10:50:00,4
4650.0,351.1687,351.09,351.15,351.22,351.04,2020-09-01 10:55:00,21
40474.0,351.0447,351.06,351.0,351.11,351.0,2020-09-01 11:00:00,164
46392.0,351.0081,351.02,351.02,351.07,350.98,2020-09-01 11:05:00,147
51597.0,350.9656,351.02,350.94,351.05,350.9,2020-09-01 11:10:00,189
3084.0,350.8669,350.95,350.83,350.95,350.83,2020-09-01 11:15:00,24
5113.0,350.8178,350.8,350.8,350.82,350.8,2020-09-01 11:20:00,30
12437.0,350.7011,350.7,350.7,350.74,350.67,2020-09-01 11:25:00,65
14103.0,350.5551,350.68,350.5,350.68,350.47,2020-09-01 11:30:00,64
22929.0,350.5843,350.54,350.6,350.63,350.48,2020-09-01 11:35:00,85
53960.0,350.6078,350.6,350.56,350.68,350.54,2020-09-01 11:40:00,172
26585.0,350.5368,350.55,350.54,350.59,350.53,2020-09-01 11:45:00,118
3350.0,350.503,350.57,350.49,350.57,350.49,2020-09-01 11:50:00,40
2684.0,350.4861,350.5,350.54,350.54,350.46,2020-09-01 11:55:00,26
21452.0,350.8446,350.54,350.63,351.55,350.4999,2020-09-01 12:00:00,249
2964.0,350.6687,350.66,350.63,350.68,350.63,2020-09-01 12:05:00,37
25432.0,350.6238,350.68,350.65,350.69,350.57,2020-09-01 12:10:00,108
5236.0,350.6702,350.66,350.67,350.7,350.65,2020-09-01 12:15:00,35
14932.0,350.6689,350.6,350.69,350.73,350.58,2020-09-01 12:20:00,72
19839.0,350.6952,350.67,350.75,350.75,350.62,2020-09-01 12:25:00,83
9797.0,350.7909,350.73,350.83,350.85,350.73,2020-09-01 12:30:00,87
13379.0,350.8486,350.84,350.858,350.86,350.82,2020-09-01 12:35:00,65
4184.0,350.8239,350.86,350.84,350.86,350.79,2020-09-01 12:40:00,57
13024.0,350.8577,350.78,350.9,350.9,350.78,2020-09-01 12:45:00,63
56844.0,350.7643,350.9,350.65,350.92,350.6,2020-09-01 12:50:00,217
48332.0,350.4469,350.6199,350.32,350.6199,350.2,2020-09-01 12:55:00,240
28919.0,350.0326,350.23,350.0,350.29,349.74,2020-09-01 13:00:00,324
75769.0,349.7061,350.01,349.67,350.01,349.45,2020-09-01 13:05:00,425
59779.0,349.769,349.68,349.85,349.88,349.56,2020-09-01 13:10:00,363
32768.0,349.9224,349.85,350.11,350.12,349.7,2020-09-01 13:15:00,221
18494.0,350.0912,350.11,350.05,350.13,350.02,2020-09-01 13:20:00,145
156050.0,350.1091,350.04,350.21,350.23,350.0,2020-09-01 13:25:00,572
1778555.0,349.6637,350.21,349.545,350.24,349.24,2020-09-01 13:30:00,12905
918669.0,349.6026,349.55,349.79,349.89,349.29,2020-09-01 13:35:00,7410
1406423.0,349.9256,349.8,350.084,350.22,349.778,2020-09-01 13:40:00,5894
701887.0,350.2014,350.09,350.29,350.38,350.01,2020-09-01 13:45:00,5134
894014.0,350.392,350.2918,350.47,350.528,350.09,2020-09-01 13:50:00,6170
507407.0,350.4949,350.49,350.473,350.59,350.39,2020-09-01 13:55:00,4103
849609.0,350.8752,350.48,350.85,351.07,350.48,2020-09-01 14:00:00,6534
649834.0,350.6499,350.85,350.433,351.04,350.42,2020-09-01 14:05:00,4524
605247.0,350.4842,350.44,350.38,350.7467,350.24,2020-09-01 14:10:00,4191
492706.0,350.4674,350.37,350.63,350.68,350.18,2020-09-01 14:15:00,4156
461596.0,350.8909,350.635,351.0,351.03,350.5921,2020-09-01 14:20:00,3763
769175.0,351.1715,351.005,351.38,351.4,350.98,2020-09-01 14:25:00,5627
795791.0,350.8129,351.39,351.2099,351.4,351.14,2020-09-01 14:30:00,4062
330464.0,351.1475,351.22,351.21,351.311,350.98,2020-09-01 14:35:00,2951
673275.0,351.1011,351.1901,351.04,351.31,350.97,2020-09-01 14:40:00,5327
452156.0,351.1388,351.04,351.05,351.3599,350.97,2020-09-01 14:45:00,3558
775510.0,350.9699,351.06,350.7482,351.24,350.71,2020-09-01 14:50:00,5047
1947775.0,350.5145,350.75,350.66,350.9201,350.6,2020-09-01 14:55:00,9222
293065.0,350.7036,350.67,350.7144,350.827,350.54,2020-09-01 15:00:00,2866
258961.0,350.8038,350.729,350.87,351.1086,350.63,2020-09-01 15:05:00,2357
307298.0,350.9038,350.875,350.98,351.02,350.75,2020-09-01 15:10:00,2719
344913.0,351.0631,350.98,350.98,351.22,350.89,2020-09-01 15:15:00,2798
1004124.0,350.6067,350.97,350.53,351.022,350.42,2020-09-01 15:20:00,7155
1698441.0,350.4944,350.54,350.795,350.825,350.39,2020-09-01 15:25:00,9652
421687.0,350.782,350.79,350.825,350.905,350.68,2020-09-01 15:30:00,3215
207768.0,350.8997,350.86,350.85,351.0,350.79,2020-09-01 15:35:00,2028
481695.0,350.2112,350.86,350.86,350.96,349.8384,2020-09-01 15:40:00,2254
122901.0,350.805,350.85,350.93,350.93,350.7,2020-09-01 15:45:00,1611
232019.0,350.9361,350.92,350.79,351.07,350.7677,2020-09-01 15:50:00,2126
191486.0,350.7674,350.7984,350.7601,350.86,350.67,2020-09-01 15:55:00,2000
1004086.0,350.519,350.77,350.9323,350.96,350.69,2020-09-01 16:00:00,2310
271849.0,351.0314,350.935,351.04,351.11,350.93,2020-09-01 16:05:00,2048
286773.0,351.0796,351.04,351.15,351.18,350.965,2020-09-01 16:10:00,2216
151882.0,351.0863,351.145,351.1216,351.18,350.99,2020-09-01 16:15:00,1425
312486.0,351.0712,351.13,350.925,351.18,350.9204,2020-09-01 16:20:00,1521
166071.0,350.9586,350.93,350.96,351.035,350.91,2020-09-01 16:25:00,1700
134644.0,351.0066,350.955,351.0938,351.1195,350.915,2020-09-01 16:30:00,1376
159601.0,351.0664,351.09,350.9431,351.15,350.94,2020-09-01 16:35:00,1366
168469.0,350.9033,350.95,350.9575,350.99,350.8,2020-09-01 16:40:00,1774
418489.0,351.042,350.97,350.92,351.09,350.88,2020-09-01 16:45:00,1493
173415.0,351.0287,350.92,351.06,351.13,350.89,2020-09-01 16:50:00,1585
174538.0,351.1463,351.06,351.2077,351.21,351.05,2020-09-01 16:55:00,1555
444037.0,350.376,351.201,351.0,351.2099,351.0,2020-09-01 17:00:00,1552
134481.0,351.0037,350.995,351.0001,351.07,350.95,2020-09-01 17:05:00,1381
293551.0,350.9262,351.0,350.91,351.029,350.85,2020-09-01 17:10:00,1820
567193.0,350.2266,350.9101,351.01,351.04,350.89,2020-09-01 17:15:00,1325
240794.0,350.9796,351.005,351.04,351.05,350.89,2020-09-01 17:20:00,1771
271981.0,351.0486,351.05,351.0,351.1,350.985,2020-09-01 17:25:00,2178
197588.0,350.993,351.01,350.935,351.07,350.925,2020-09-01 17:30:00,1747
165272.0,351.1366,350.94,351.18,351.2,350.94,2020-09-01 17:35:00,1520
397026.0,351.3352,351.18,351.4542,351.49,351.18,2020-09-01 17:40:00,3156
269043.0,351.4344,351.455,351.465,351.48,351.3606,2020-09-01 17:45:00,1848
367614.0,351.3045,351.46,351.31,351.46,351.2,2020-09-01 17:50:00,2455
171682.0,351.3504,351.3,351.32,351.4,351.25,2020-09-01 17:55:00,1285
258659.0,351.3201,351.33,351.3692,351.39,351.25,2020-09-01 18:00:00,1990
273210.0,351.4203,351.365,351.43,351.47,351.35,2020-09-01 18:05:00,2200
775485.0,350.9773,351.43,351.55,351.58,351.43,2020-09-01 18:10:00,3807
