volume,vw,open,close,high,low,timestamp,trades
5733.0,588.8439,588.22,589.0,589.25,588.12,2025-01-02 09:00:00,172
3947.0,589.233,589.0,589.47,589.47,589.0,2025-01-02 09:05:00,97
1459.0,589.6971,589.72,589.65,589.8,589.65,2025-01-02 09:10:00,46
6877.0,589.7834,589.51,589.81,589.86,589.51,2025-01-02 09:15:00,77
1109.0,589.7111,589.73,589.6,589.77,589.6,2025-01-02 09:20:00,27
4176.0,589.5695,589.63,589.69,589.7,589.47,2025-01-02 09:25:00,62
2396.0,589.6568,589.62,589.6,589.73,589.6,2025-01-02 09:30:00,45
5266.0,589.2343,589.62,588.84,589.62,588.84,2025-01-02 09:35:00,100
2982.0,589.1328,589.05,589.38,589.38,589.04,2025-01-02 09:40:00,39
2198.0,589.6281,589.64,589.64,589.64,589.64,2025-01-02 09:45:00,19
1030.0,589.6606,589.66,589.66,589.66,589.66,2025-01-02 09:50:00,6
441.0,589.7661,589.7,589.8,589.8,589.7,2025-01-02 09:55:00,22
2482.0,589.9183,589.89,589.7,590.01,589.7,2025-01-02 10:00:00,58
384.0,589.5442,589.55,589.55,589.55,589.55,2025-01-02 10:05:00,21
4295.0,589.3203,589.52,589.16,589.52,589.16,2025-01-02 10:10:00,44
527.0,589.3911,589.35,589.44,589.44,589.35,2025-01-02 10:15:00,18
486.0,589.6385,589.7,589.54,589.7,589.54,2025-01-02 10:20:00,10
1345.0,589.7034,589.64,589.74,589.74,589.64,2025-01-02 10:30:00,23
1155.0,589.8538,589.8,589.92,589.92,589.8,2025-01-02 10:35:00,35
3211.0,589.8765,589.88,589.82,589.88,589.82,2025-01-02 10:40:00,15
20548.0,589.9364,589.93,589.93,589.95,589.9,2025-01-02 10:45:00,114
21289.0,589.405,589.75,589.44,589.75,589.24,2025-01-02 10:50:00,143
10631.0,589.9109,589.65,589.92,589.92,589.65,2025-01-02 10:55:00,45
20267.0,589.6025,589.89,589.6,589.89,589.48,2025-01-02 11:00:00,80
33503.0,589.6303,589.6,589.7,589.7,589.55,2025-01-02 11:05:00,87
4998.0,589.8601,589.71,589.97,589.97,589.71,2025-01-02 11:10:00,53
10023.0,589.9209,589.95,589.9,589.95,589.9,2025-01-02 11:20:00,41
13072.0,589.6038,589.74,589.61,589.74,589.59,2025-01-02 11:30:00,57
10572.0,589.794,589.74,589.97,589.97,589.74,2025-01-02 11:35:00,71
5133.0,590.2446,590.1,590.32,590.32,590.1,2025-01-02 11:40:00,99
10667.0,590.7898,590.48,590.98,591.0,590.48,2025-01-02 11:45:00,110
7745.0,590.8527,590.93,590.89,590.93,590.75,2025-01-02 11:50:00,78
41013.0,591.4807,590.93,591.61,591.74,590.9,2025-01-02 11:55:00,263
291382.0,591.482,591.57,591.56,591.85,590.94,2025-01-02 12:00:00,1174
26542.0,591.6575,591.61,591.84,591.87,591.52,2025-01-02 12:05:00,282
20417.0,591.8539,591.93,591.92,591.98,591.77,2025-01-02 12:10:00,195
17917.0,591.9096,591.96,591.88,592.02,591.81,2025-01-02 12:15:00,237
14931.0,591.9594,592.0,591.99,592.06,591.82,2025-01-02 12:20:00,156
5852.0,591.9734,591.93,592.009,592.009,591.93,2025-01-02 12:25:00,73
23310.0,591.8354,591.99,591.63,591.99,591.63,2025-01-02 12:30:00,250
2113.0,591.784,591.82,591.8,591.83,591.74,2025-01-02 12:35:00,54
