volume,vw,open,close,high,low,timestamp,trades
26258.0,373.3502,373.19,373.48,373.58,373.16,2021-02-01 09:00:00,104
6362.0,373.3162,373.44,373.3,373.54,373.11,2021-02-01 09:05:00,56
2715.0,373.6285,373.52,373.62,373.75,373.52,2021-02-01 09:10:00,19
18909.0,373.8818,373.8,373.83,374.0,373.79,2021-02-01 09:15:00,79
7229.0,373.8512,373.73,373.72,374.06,373.7,2021-02-01 09:20:00,33
7805.0,373.7922,373.75,373.7,373.85,373.64,2021-02-01 09:25:00,30
6565.0,373.7414,373.63,373.7,373.84,373.59,2021-02-01 09:30:00,26
3712.0,373.4501,373.56,373.38,373.66,373.38,2021-02-01 09:35:00,27
16336.0,373.3166,373.35,373.26,373.35,373.08,2021-02-01 09:40:00,47
5671.0,373.1001,373.13,372.9,373.15,372.9,2021-02-01 09:45:00,17
32526.0,373.1713,373.13,373.17,373.32,373.12,2021-02-01 09:50:00,73
109237.0,373.376,373.17,373.46,373.55,373.14,2021-02-01 09:55:00,418
75321.0,373.4909,373.49,373.58,373.64,373.45,2021-02-01 10:00:00,125
22000.0,373.4973,373.54,373.49,373.54,373.49,2021-02-01 10:05:00,42
5765.0,373.5258,373.49,373.43,373.69,373.41,2021-02-01 10:10:00,32
2702.0,373.5299,373.51,373.45,373.54,373.45,2021-02-01 10:15:00,12
1161.0,373.4331,373.46,373.41,373.46,373.41,2021-02-01 10:20:00,10
4030.0,373.5376,373.5,373.61,373.63,373.5,2021-02-01 10:25:00,14
1978.0,373.4162,373.54,373.41,373.54,373.3,2021-02-01 10:30:00,13
2973.0,373.4215,373.33,373.46,373.56,373.33,2021-02-01 10:35:00,21
5485.0,373.4121,373.66,373.13,373.86,373.13,2021-02-01 10:40:00,45
961.0,373.2514,373.2,373.27,373.27,373.2,2021-02-01 10:45:00,6
3895.0,373.4483,373.48,373.33,373.48,373.33,2021-02-01 10:50:00,22
6155.0,373.0626,373.37,373.13,373.37,372.95,2021-02-01 10:55:00,36
5877.0,373.0638,373.03,373.08,373.14,372.98,2021-02-01 11:00:00,19
989.0,373.2033,373.1,373.33,373.33,373.1,2021-02-01 11:05:00,11
1775.0,373.3321,373.38,373.38,373.38,373.23,2021-02-01 11:10:00,10
5785.0,373.5867,373.3,373.57,373.7,373.3,2021-02-01 11:15:00,29
39267.0,374.0834,373.7,374.0,374.37,373.7,2021-02-01 11:20:00,114
127445.0,374.3987,374.05,374.49,374.71,373.98,2021-02-01 11:25:00,224
7741.0,374.3968,374.55,374.22,374.59,374.22,2021-02-01 11:30:00,41
6474.0,374.1004,374.0,374.04,374.16,373.99,2021-02-01 11:35:00,31
11266.0,374.0277,374.04,373.84,374.12,373.82,2021-02-01 11:40:00,45
3153.0,373.8643,373.99,373.78,373.99,373.78,2021-02-01 11:45:00,13
6166.0,374.1297,373.99,374.18,374.32,373.96,2021-02-01 11:50:00,41
14600.0,373.9371,373.95,373.78,373.98,373.76,2021-02-01 11:55:00,75
81226.0,373.7295,373.58,373.77,373.85,373.54,2021-02-01 12:00:00,534
38039.0,373.8326,373.77,373.75,373.91,373.72,2021-02-01 12:05:00,212
13180.0,373.858,373.73,373.9,373.92,373.73,2021-02-01 12:10:00,104
53934.0,374.103,373.92,374.24,374.29,373.89,2021-02-01 12:15:00,265
12329.0,374.1958,374.16,374.13,374.26,374.13,2021-02-01 12:20:00,94
33432.0,374.0576,374.12,374.0,374.18,373.95,2021-02-01 12:25:00,177
32975.0,374.0241,374.0,373.79,374.13,373.78,2021-02-01 12:30:00,170
21573.0,373.8702,373.78,374.03,374.06,373.74,2021-02-01 12:35:00,127
52702.0,374.2449,374.07,374.4,374.5,374.07,2021-02-01 12:40:00,229
15133.0,374.2569,374.26,374.15,374.41,374.1,2021-02-01 12:45:00,87
14897.0,374.1909,374.15,374.08,374.28,374.03,2021-02-01 12:50:00,95
31381.0,373.8504,374.11,373.59,374.11,373.54,2021-02-01 12:55:00,210
129267.0,373.4723,373.6999,373.51,374.4996,371.49,2021-02-01 13:00:00,899
37530.0,373.5974,373.51,373.76,373.83,373.5,2021-02-01 13:05:00,192
22553.0,373.7325,373.8,373.63,373.82,373.63,2021-02-01 13:10:00,173
73965.0,373.5662,373.66,373.57,373.68,373.47,2021-02-01 13:15:00,244
27223.0,373.668,373.6,373.53,373.76,373.4,2021-02-01 13:20:00,183
32593.0,373.4435,373.58,373.25,373.66,373.2,2021-02-01 13:25:00,422
35083.0,373.302,373.28,373.37,373.39,373.22,2021-02-01 13:30:00,309
17379.0,373.5871,373.4,373.71,373.71,373.4,2021-02-01 13:35:00,235
15138.0,373.67,373.74,373.59,373.79,373.59,2021-02-01 13:40:00,132
10262.0,373.5875,373.64,373.52,373.69,373.51,2021-02-01 13:45:00,141
83944.0,373.5304,373.52,373.29,373.69,373.28,2021-02-01 13:50:00,299
19935.0,373.3721,373.29,373.42,373.5,373.27,2021-02-01 13:55:00,167
89064.0,373.2604,373.42,373.15,373.54,373.09,2021-02-01 14:00:00,480
47888.0,373.1909,373.15,373.14,373.27,373.14,2021-02-01 14:05:00,319
