volume,vw,open,close,high,low,timestamp,trades
2091.0,417.3655,417.5,417.32,417.5,417.29,2023-11-01 08:00:00,29
3254.0,417.4912,417.48,417.58,417.6,417.34,2023-11-01 08:05:00,23
1686.0,417.6822,417.48,417.72,417.8,417.48,2023-11-01 08:10:00,18
662.0,417.4501,417.61,417.3,417.61,417.3,2023-11-01 08:15:00,20
6270.0,417.2479,417.33,416.95,417.33,416.95,2023-11-01 08:25:00,43
4129.0,417.2715,417.0,417.27,417.32,417.0,2023-11-01 08:30:00,39
101.0,417.2301,417.23,417.23,417.23,417.23,2023-11-01 08:35:00,2
776.0,417.126,417.26,416.91,417.26,416.91,2023-11-01 08:40:00,20
328.0,416.8707,416.86,416.89,416.89,416.86,2023-11-01 08:45:00,11
759.0,416.829,416.99,416.65,416.99,416.65,2023-11-01 08:50:00,15
1530.0,416.806,416.77,416.88,416.88,416.77,2023-11-01 08:55:00,14
1593.0,416.9442,416.89,417.05,417.05,416.8,2023-11-01 09:00:00,11
1190.0,417.1599,417.14,417.2,417.2,417.14,2023-11-01 09:05:00,11
1400.0,417.0819,417.11,417.07,417.11,417.07,2023-11-01 09:10:00,20
933.0,416.9483,416.94,416.94,416.94,416.94,2023-11-01 09:15:00,14
2620.0,416.6994,416.77,416.65,416.77,416.65,2023-11-01 09:20:00,44
264.0,416.8845,416.93,416.93,416.93,416.93,2023-11-01 09:30:00,3
383.0,416.7821,416.68,416.82,416.82,416.68,2023-11-01 09:35:00,8
440.0,416.7642,416.77,416.77,416.77,416.77,2023-11-01 09:40:00,4
625.0,416.6982,416.7,416.77,416.77,416.65,2023-11-01 09:45:00,8
2028.0,416.587,416.65,416.53,416.65,416.51,2023-11-01 09:50:00,23
1835.0,416.5993,416.54,416.66,416.7,416.53,2023-11-01 09:55:00,15
975.0,416.6436,416.71,416.59,416.71,416.55,2023-11-01 10:00:00,13
556.0,416.5337,416.56,416.51,416.56,416.51,2023-11-01 10:05:00,14
1183.0,416.4217,416.43,416.39,416.45,416.39,2023-11-01 10:10:00,15
299.0,416.5273,416.52,416.55,416.55,416.52,2023-11-01 10:15:00,9
500.0,416.4759,416.5,416.45,416.5,416.45,2023-11-01 10:20:00,7
2136.0,416.6148,416.43,416.68,416.68,416.43,2023-11-01 10:25:00,21
9850.0,416.6772,416.68,416.66,416.74,416.58,2023-11-01 10:30:00,32
2666.0,416.8443,416.8,416.9,416.9,416.8,2023-11-01 10:35:00,21
41018.0,416.9206,416.86,417.02,417.02,416.85,2023-11-01 10:40:00,106
29286.0,417.0147,417.0,416.96,417.08,416.95,2023-11-01 10:45:00,79
4140.0,416.9072,416.89,416.93,416.93,416.87,2023-11-01 10:50:00,22
1408.0,416.8817,416.92,416.86,416.92,416.85,2023-11-01 10:55:00,15
7777.0,416.8954,416.86,416.99,416.99,416.86,2023-11-01 11:00:00,62
3106.0,416.9265,416.99,416.8,417.0,416.8,2023-11-01 11:05:00,39
2358.0,416.8339,416.8,416.79,416.9,416.79,2023-11-01 11:10:00,28
14893.0,416.7714,416.78,416.74,416.79,416.74,2023-11-01 11:15:00,70
23882.0,416.5674,416.74,416.57,416.74,416.5,2023-11-01 11:20:00,115
11124.0,416.6496,416.57,416.58,416.69,416.57,2023-11-01 11:25:00,54
96337.0,416.6053,416.54,416.8,416.8,416.5,2023-11-01 11:30:00,405
11326.0,416.7214,416.8,416.66,416.84,416.62,2023-11-01 11:35:00,64
4870.0,416.5363,416.65,416.48,416.65,416.48,2023-11-01 11:40:00,57
34076.0,416.3525,416.47,416.3,416.47,416.3,2023-11-01 11:45:00,166
15748.0,416.3068,416.28,416.32,416.35,416.24,2023-11-01 11:50:00,95
15202.0,416.4017,416.33,416.5,416.5,416.3,2023-11-01 11:55:00,96
60355.0,416.708,416.68,416.77,418.13,416.28,2023-11-01 12:00:00,838
30461.0,416.7698,416.75,416.81,416.84,416.65,2023-11-01 12:05:00,253
27757.0,416.88,416.82,416.91,416.96,416.79,2023-11-01 12:10:00,235
75618.0,417.0689,416.88,417.1,417.17,416.88,2023-11-01 12:15:00,443
43262.0,416.9637,417.1,416.96,417.1,416.9,2023-11-01 12:20:00,282
19228.0,416.9918,416.95,417.01,417.09,416.88,2023-11-01 12:25:00,162
240683.0,417.8156,417.05,418.42,418.46,417.05,2023-11-01 12:30:00,1442
202623.0,418.4608,418.42,418.67,418.68,418.28,2023-11-01 12:35:00,1152
91543.0,418.4578,418.66,418.32,418.7,418.2421,2023-11-01 12:40:00,654
75995.0,418.4173,418.3,418.43,418.6,418.25,2023-11-01 12:45:00,437
56320.0,418.6094,418.46,418.71,418.78,418.42,2023-11-01 12:50:00,398
52187.0,418.4311,418.63,418.44,418.73,418.23,2023-11-01 12:55:00,380
67266.0,418.0719,418.42,418.11,418.42,417.82,2023-11-01 13:00:00,585
33859.0,418.2978,418.12,418.38,418.38,418.12,2023-11-01 13:05:00,377
26904.0,418.4598,418.41,418.65,418.66,418.29,2023-11-01 13:10:00,333
164463.0,419.0131,418.65,419.38,419.38,418.65,2023-11-01 13:15:00,1181
113493.0,419.3177,419.38,419.43,419.51,419.17,2023-11-01 13:20:00,765
127403.0,419.3223,419.38,419.22,419.51,419.15,2023-11-01 13:25:00,747
1651963.0,419.029,419.2,418.875,419.37,418.6499,2023-11-01 13:30:00,15013
914476.0,418.9297,418.88,419.01,419.09,418.7387,2023-11-01 13:35:00,8451
932668.0,419.0678,419.015,419.1,419.33,418.81,2023-11-01 13:40:00,8468
1397716.0,419.3971,419.095,419.76,419.85,418.87,2023-11-01 13:45:00,12137
1070195.0,419.6854,419.76,419.72,419.88,419.45,2023-11-01 13:50:00,11908
735285.0,419.5712,419.74,419.475,419.79,419.36,2023-11-01 13:55:00,7639
1800185.0,419.9084,419.49,419.77,420.44,419.48,2023-11-01 14:00:00,16879
1588309.0,419.3212,419.76,419.63,419.91,419.17,2023-11-01 14:05:00,12269
1125006.0,419.8159,419.645,420.08,420.24,419.42,2023-11-01 14:10:00,9678
888123.0,420.1889,420.09,420.3399,420.3699,419.96,2023-11-01 14:15:00,9316
1789394.0,421.0109,420.34,421.38,421.46,420.32,2023-11-01 14:20:00,16085
1466559.0,420.7832,421.38,421.165,421.46,421.11,2023-11-01 14:25:00,10565
897047.0,421.2077,421.16,421.29,421.41,421.04,2023-11-01 14:30:00,8747
727284.0,421.381,421.29,421.3904,421.61,421.14,2023-11-01 14:35:00,7971
868826.0,421.4551,421.39,421.6,421.66,421.29,2023-11-01 14:40:00,7902
1104538.0,421.5882,421.62,421.24,421.9,421.15,2023-11-01 14:45:00,9774
862547.0,421.2254,421.24,421.13,421.39,421.055,2023-11-01 14:50:00,6996
1201838.0,421.2586,421.13,421.25,421.39,421.06,2023-11-01 14:55:00,7622
1476683.0,421.4352,421.26,421.535,421.615,421.1,2023-11-01 15:00:00,7360
1438795.0,421.4425,421.535,421.56,421.585,421.32,2023-11-01 15:05:00,8175
1288203.0,420.9488,421.555,420.79,421.58,420.535,2023-11-01 15:10:00,9700
889208.0,420.5945,420.79,420.5876,420.82,420.46,2023-11-01 15:15:00,6750
746313.0,420.3826,420.59,420.525,420.63,420.2282,2023-11-01 15:20:00,6303
633032.0,420.426,420.53,420.39,420.6,420.23,2023-11-01 15:25:00,3754
458819.0,420.4078,420.39,420.41,420.54,420.235,2023-11-01 15:30:00,4245
532417.0,420.5246,420.42,420.42,420.6577,420.36,2023-11-01 15:35:00,4411
552418.0,420.5182,420.425,420.66,420.68,420.35,2023-11-01 15:40:00,4648
510449.0,420.688,420.66,420.6878,420.7972,420.59,2023-11-01 15:45:00,4231
538764.0,420.6517,420.6771,420.8,420.84,420.45,2023-11-01 15:50:00,4330
341581.0,420.802,420.79,420.7209,420.88,420.7,2023-11-01 15:55:00,3175
548296.0,420.5524,420.735,420.5488,420.735,420.42,2023-11-01 16:00:00,4540
655879.0,420.4313,420.5505,420.4148,420.69,420.15,2023-11-01 16:05:00,5984
393502.0,420.3423,420.419,420.11,420.585,420.11,2023-11-01 16:10:00,3598
658342.0,419.9615,420.15,420.06,420.168,419.83,2023-11-01 16:15:00,5351
412890.0,420.0882,420.04,420.07,420.23,419.94,2023-11-01 16:20:00,3740
467436.0,419.9923,420.08,420.02,420.09,419.875,2023-11-01 16:25:00,3305
361520.0,420.1902,420.02,420.17,420.36,419.99,2023-11-01 16:30:00,3457
673816.0,419.9185,420.17,419.7,420.21,419.635,2023-11-01 16:35:00,4531
684845.0,419.4398,419.7,419.5127,419.73,419.3,2023-11-01 16:40:00,6067
523003.0,419.5853,419.51,419.67,419.745,419.44,2023-11-01 16:45:00,4286
322200.0,419.7321,419.69,419.78,419.88,419.555,2023-11-01 16:50:00,3172
492304.0,419.7999,419.78,419.75,419.91,419.69,2023-11-01 16:55:00,3851
850018.0,420.2989,419.755,419.55,419.8499,419.5,2023-11-01 17:00:00,2861
441352.0,419.8455,419.54,419.9001,420.02,419.51,2023-11-01 17:05:00,3968
643048.0,420.1785,419.905,420.27,420.4,419.865,2023-11-01 17:10:00,5532
457389.0,420.2151,420.271,420.2,420.41,420.11,2023-11-01 17:15:00,3986
505946.0,419.8445,420.19,419.61,420.22,419.525,2023-11-01 17:20:00,4783
520976.0,419.6747,419.62,419.82,419.91,419.45,2023-11-01 17:25:00,4602
531330.0,419.5645,419.81,419.41,419.83,419.375,2023-11-01 17:30:00,5413
373663.0,419.5552,419.41,419.7064,419.72,419.395,2023-11-01 17:35:00,3520
582123.0,419.8894,419.7,420.03,420.11,419.56,2023-11-01 17:40:00,4419
550986.0,419.7619,420.035,419.81,420.035,419.555,2023-11-01 17:45:00,4736
479807.0,420.0444,419.82,420.03,420.26,419.8,2023-11-01 17:50:00,4504
495462.0,420.0211,420.03,420.14,420.21,419.8721,2023-11-01 17:55:00,3944
1914666.0,420.3195,420.1,420.16,420.96,419.66,2023-11-01 18:00:00,16526
969619.0,420.1352,420.13,419.97,420.38,419.84,2023-11-01 18:05:00,9076
608210.0,419.9404,419.96,419.63,420.19,419.61,2023-11-01 18:10:00,6086
903452.0,419.6864,419.66,419.92,420.03,419.31,2023-11-01 18:15:00,8239
687281.0,420.1812,419.91,420.34,420.43,419.88,2023-11-01 18:20:00,6217
1227392.0,419.5427,420.31,420.4,420.66,420.08,2023-11-01 18:25:00,6696
1567864.0,421.1637,420.42,421.39,421.57,420.42,2023-11-01 18:30:00,13833
2648492.0,420.9969,421.39,420.52,421.76,420.15,2023-11-01 18:35:00,22686
2410946.0,419.7965,420.51,419.75,420.7,419.14,2023-11-01 18:40:00,20655
2199504.0,419.6743,419.75,419.78,420.37,419.08,2023-11-01 18:45:00,18288
1711745.0,420.2557,419.76,420.23,420.57,419.67,2023-11-01 18:50:00,13827
1614787.0,421.0891,420.24,421.3543,421.64,420.21,2023-11-01 18:55:00,13395
2028562.0,422.2116,421.36,422.25,422.66,421.34,2023-11-01 19:00:00,18126
1640480.0,422.3794,422.27,422.54,422.67,422.0,2023-11-01 19:05:00,13538
2201169.0,422.7023,422.53,422.25,423.05,422.18,2023-11-01 19:10:00,17043
1456433.0,422.4866,422.27,422.51,422.78,422.16,2023-11-01 19:15:00,13178
2108824.0,422.3102,422.5,423.2,423.2,422.39,2023-11-01 19:20:00,16176
1917303.0,422.8412,423.19,422.83,423.35,422.4,2023-11-01 19:25:00,15377
2839203.0,421.8219,422.82,423.09,423.5,422.66,2023-11-01 19:30:00,16844
1553372.0,422.2991,423.08,423.0678,423.31,422.915,2023-11-01 19:35:00,11234
1925740.0,422.34,423.075,422.93,423.15,422.69,2023-11-01 19:40:00,13181
1745849.0,422.3399,422.92,423.05,423.12,422.89,2023-11-01 19:45:00,11685
4800280.0,421.1911,423.05,422.835,423.2,422.51,2023-11-01 19:50:00,19292
5079743.0,422.094,422.83,422.7,423.0,422.52,2023-11-01 19:55:00,22864
653769.0,422.6999,422.67,422.69,422.83,420.4233,2023-11-01 20:00:00,2227
270488.0,422.5294,422.67,422.44,422.7,422.43,2023-11-01 20:05:00,802
1655799.0,421.3249,422.45,422.54,422.62,422.41,2023-11-01 20:10:00,789
279816.0,422.6365,422.59,422.49,422.66,422.46,2023-11-01 20:15:00,343
521603.0,418.4378,422.49,422.53,422.54,422.49,2023-11-01 20:20:00,112
19434.0,422.5197,422.53,422.51,422.57,422.47,2023-11-01 20:25:00,132
8754.0,422.6148,422.53,422.63,422.65,422.52,2023-11-01 20:30:00,107
21488.0,422.6489,422.62,422.68,422.68,422.62,2023-11-01 20:35:00,105
18360.0,422.7232,422.69,422.75,422.76,422.69,2023-11-01 20:40:00,155
55030.0,422.7484,422.78,422.79,422.82,422.7,2023-11-01 20:45:00,196
26328.0,422.7715,422.75,422.79,422.8,422.75,2023-11-01 20:50:00,95
188809.0,422.7885,422.8,422.84,422.88,422.73,2023-11-01 20:55:00,436
27807.0,422.8576,422.87,422.93,422.93,422.7,2023-11-01 21:00:00,160
3182.0,422.9199,422.82,422.89,422.94,422.82,2023-11-01 21:05:00,36
1911.0,423.0863,422.89,422.93,422.93,422.8577,2023-11-01 21:10:00,43
6119.0,422.9241,422.94,422.92,422.95,422.9,2023-11-01 21:15:00,67
87265.0,422.7023,422.95,422.98,422.99,422.91,2023-11-01 21:20:00,79
3805.0,422.9428,422.95,422.98,422.99,422.9,2023-11-01 21:25:00,82
9633.0,423.0387,422.99,423.08,423.1,422.91,2023-11-01 21:30:00,123
1438.0,423.012,423.0,423.07,423.07,422.95,2023-11-01 21:35:00,44
3602.0,423.0032,423.0,423.0,423.0,423.0,2023-11-01 21:40:00,105
