volume,vw,open,close,high,low,timestamp,trades
11439.0,421.6226,421.48,421.66,421.7,421.48,2021-06-01 08:00:00,80
423.0,421.5265,421.6,421.48,421.6,421.48,2021-06-01 08:05:00,11
793.0,421.3578,421.45,421.31,421.45,421.31,2021-06-01 08:10:00,13
248.0,421.3481,421.34,421.36,421.36,421.34,2021-06-01 08:15:00,6
4986.0,421.2879,421.28,421.44,421.44,421.2,2021-06-01 08:20:00,25
287.0,421.2995,421.31,421.28,421.31,421.28,2021-06-01 08:25:00,2
211.0,421.2345,421.24,421.23,421.24,421.23,2021-06-01 08:30:00,4
1161.0,421.2018,421.21,421.14,421.21,421.14,2021-06-01 08:35:00,10
314.0,421.1839,421.15,421.2,421.2,421.15,2021-06-01 08:40:00,6
152.0,421.2329,421.25,421.25,421.25,421.25,2021-06-01 08:45:00,3
593.0,421.4294,421.43,421.43,421.43,421.43,2021-06-01 08:50:00,7
7650.0,421.6477,421.49,421.63,421.7,421.49,2021-06-01 08:55:00,30
2473.0,421.6459,421.65,421.65,421.65,421.63,2021-06-01 09:00:00,9
1203.0,421.5802,421.6,421.6,421.61,421.55,2021-06-01 09:05:00,12
338.0,421.5534,421.55,421.55,421.55,421.55,2021-06-01 09:10:00,4
7181.0,421.7229,421.68,421.81,421.92,421.68,2021-06-01 09:15:00,29
714.0,421.8219,421.8,421.83,421.83,421.8,2021-06-01 09:20:00,8
2153.0,421.7476,421.73,421.75,421.75,421.73,2021-06-01 09:25:00,6
6505.0,421.7934,421.75,421.87,421.87,421.74,2021-06-01 09:30:00,22
113.0,421.8119,421.81,421.81,421.81,421.81,2021-06-01 09:35:00,4
5177.0,421.7499,421.81,421.81,421.81,421.74,2021-06-01 09:40:00,23
7744.0,421.8486,421.83,421.8,421.88,421.8,2021-06-01 09:45:00,46
1605.0,421.7452,421.8,421.73,421.8,421.68,2021-06-01 09:50:00,20
169.0,421.7004,421.7,421.7,421.7,421.7,2021-06-01 09:55:00,4
503.0,421.7462,421.73,421.77,421.77,421.73,2021-06-01 10:00:00,8
405.0,421.7853,421.78,421.79,421.79,421.78,2021-06-01 10:05:00,7
1090.0,421.8533,421.88,421.79,421.88,421.79,2021-06-01 10:10:00,9
600.0,421.84,421.84,421.84,421.84,421.84,2021-06-01 10:15:00,5
828.0,421.8961,421.88,421.91,421.91,421.88,2021-06-01 10:20:00,7
1127.0,421.7718,421.8,421.78,421.8,421.71,2021-06-01 10:35:00,18
